i,io
his,il suo
for,per
are,sono
and,e
an,un
air,aria
add,aggiungere
act,atto
about,circa
able,in grado di
TRUE,vero
above,sopra
again,di nuovo
after,dopo
afraid,impaurito
ago,fa
against,contro
age,età
agree,concordare
always,sempre
allow,consentire
among,tra
animal,animale
anger,rabbia
any,qualsiasi
answer,risposta
appear,apparire
apple,mela
be,essere
ask,chiedere
art,arte
arm,braccio
arrive,arrivare
arrange,organizzare
back,indietro
baby,bambino
atom,atomo
ball,palla
bad,male
bank,banca
band,banda
bat,pipistrello
basic,di base
but,ma
build,costruire
before,prima
beauty,bellezza
bear,sopportare
beat,battere
bed,letto
boy,ragazzo
between,fra
began,ha iniziato
begin,inizio
behind,dietro
best,migliore
believe,credere
bell,campana
better,meglio
book,libro
bird,uccello
body,corpo
black,nero
blue,blu
blow,colpo
blood,sangue
block,blocco
boat,barca
board,pensione
bone,osso
both,entrambi
born,nascita
box,scatola
bottom,fondo
bought,comprato
brother,fratello
bright,luminoso
break,pausa
bread,pane
branch,ramo
broke,rotto
broad,ampio
brown,marrone
busy,occupato
burn,bruciare
can,lattina
came,è venuto
call,chiamata
buy,acquistare
camp,campo
do,fare
change,cambiamento
cause,causa
car,auto
capital,capitale
captain,capitano
care,cura
card,scheda
catch,prendere
case,caso
cat,gatto
caught,catturato
certain,certo
center,centro
cell,cella
century,secolo
chair,sedia
chance,possibilità
differ,differire
day,giorno
could,potuto
come,venire
color,colore
children,bambini
check,controllare
character,carattere
charge,carica
chart,grafico
chief,capo
chick,pulcino
class,classe
circle,cerchio
choose,scegliere
chord,accordo
claim,richiesta
clear,chiaro
clean,pulito
cold,freddo
clothe,vestire
climb,salita
clock,orologio
cloud,nube
coast,costa
coat,cappotto
colony,colonia
column,colonna
complete,integrale
common,comune
compare,confrontare
company,azienda
contain,contenere
consonant,consonante
consider,considerare
connect,collegare
condition,condizione
cost,costo
control,controllo
continue,continuare
continent,continente
cook,cuoco
copy,copia
corner,angolo
corn,mais
cotton,cotone
country,paese
count,contare
cover,copertura
course,corso
cross,attraversare
cow,mucca
crease,piega
crop,raccolto
create,creare
cut,taglio
cry,grido
crowd,folla
current,corrente
dark,scuro
dance,danza
dad,papà
danger,pericolo
did,ha fatto
decide,decidere
dead,morto
dear,caro
deal,affare
death,morte
deep,profondità
decimal,decimale
develop,sviluppare
describe,descrivere
depend,dipendere
degree,grado
desert,deserto
determine,determinare
dictionary,dizionario
die,morire
direct,diretto
difficult,difficile
distant,lontano
discuss,discutere
division,divisione
even,anche
down,giù
don’t,non
dog,cane
doctor,medico
dollar,dollaro
door,porta
double,doppio
draw,disegnare
eat,mangiare
ease,alleviare
dry,asciutto
drive,unità
dress,vestito
dream,sognare
drink,bevanda
drop,cadere
during,durante
duck,anatra
early,presto
ear,orecchio
east,est
equate,uguagliare
energy,energia
egg,uovo
edge,bordo
effect,effetto
else,altro
eight,otto
either,o
element,elemento
electric,elettrico
enemy,nemico
engine,motore
equal,pari
enter,inserire
especially,particolarmente
follow,seguire
father,padre
every,ogni
ever,mai
evening,sera
event,evento
eye,occhio
example,esempio
exact,esatto
exercise,esercizio
except,tranne
excite,eccitare
experiment,esperimento
expect,aspettare
experience,esperienza
farm,fattoria
