di,of
e,is
il,the
la,there
che,that
in,in
a,to
per,for
un,a
del,of the
è,is
l',the
con,with
i,the
della,of the
non,not
le,the
una,a
si,yes
da,from
al,to the
dei,of
sono,i'm
nel,in
più,more
come,such as
ha,has
delle,of the
alla,a
dell',dell '
ma,but
anche,also
o,or
gli,the
se,self
ed,and
ad,to
dal,from the
lo,the
questo,this
nella,in
all',all '
essere,to be
su,on
cui,which
ci,us
alle,to
tra,between
ai,to
dalla,from
degli,from
mi,me
tutti,all
sul,on the
solo,only
d',d '
hanno,have
questa,this
due,two
anni,years
loro,their
stato,state
parte,part
prima,before
sua,her
sia,both
sempre,always
un',a
tutto,all
ho,i have
era,was
uno,one
suo,his
dopo,after
molto,very
sulla,on
può,can he
ogni,every
c',c '
nei,in
quando,when
poi,then
nell',in '
senza,without
perché,why
così,so
ancora,yet
quello,one
tempo,time
fare,do
fatto,done
dall',dall '
nelle,in
vita,life
quanto,how much
proprio,own
altri,others
chi,who
lavoro,work
dove,where is it
già,already
quella,that
modo,way
fa,does
io,i
ne,neither
anno,year
altro,other
via,street
grande,great
mondo,world
quindi,then
Italia,italy
cosa,thing
secondo,second
quale,which
oggi,today
dalle,give her
dai,come on
sarà,sara
primo,first
tutte,all
ora,now
questi,these
attività,activity
vi,you
oltre,over
caso,case
fino,till
ore,hours
nuovo,new
noi,we
volta,time
casa,home
grazie,thank you
stesso,same
viene,it is
dello,of the
stata,was
mai,never
ti,you
città,city
nostro,our
quali,which
fine,end
qui,here
tre,three
agli,to
abbiamo,we have
mentre,while
persone,people
giorno,day
possono,can
bene,well
possibile,possible
stati,states
invece,instead
punto,point
qualche,some
infatti,indeed
storia,history
mio,my
giorni,days
alcuni,some
suoi,his
centro,center
me,myself
altre,other
deve,needs to
meno,less
presso,at
attraverso,through
s',s'
comune,common
sistema,system
nostra,our
progetto,project
però,however
de,de
sulle,on
corso,course
ciò,it
nuova,new
verso,to
sui,on
mia,my
servizio,service
euro,eur
circa,about
queste,these
sito,place
momento,moment
ricerca,search
contro,versus
siamo,we are
base,basis
rispetto,respect
Roma,rome
avere,to have
sotto,under
tanto,much
lui,he
particolare,particular
soprattutto,mostly
aveva,had
legge,law
durante,during
servizi,services
poco,little
dire,to say
quel,that
presidente,president
fra,between
negli,in
interno,indoor
nazionale,national
società,society
gruppo,group
san,st.
ben,well
insieme,together
quasi,almost
sta,it is
piano,plan
esempio,example
inoltre,moreover
fu,it was
sue,its
quelli,those
uomo,man
tutta,all
va,it goes
quelle,those
numero,number
territorio,territory
tale,such
meglio,better
allo,the
altra,other
far,to
erano,they were
molti,lot of
dati,data
acqua,water
forse,perhaps
paese,country
sull',on '
spesso,often
stessa,itself
prodotti,products
volte,times
importante,important
scuola,school
comunque,anyway
posto,place
livello,level
qualità,quality
tipo,guy
visto,seen
aver,having
dio,god
informazioni,information
cose,what's this
possibilità,possibility
detto,say
sarebbe,would be
li,there
